psm_px,psm_py,psm_pz,psm_ow,psm_ox,psm_oy,psm_oz,dk2_px,dk2_py,dk2_pz,dk2_ow,dk2_ox,dk2_oy,dk2_oz
-18.990440,-1.669608,101.627716,1.000000,0.000000,0.000000,0.000000,-22.426622,-16.883295,16.076141,-0.972995,0.128981,-0.185681,-0.046552
-17.838402,-2.601229,102.543633,1.000000,0.000000,0.000000,0.000000,-21.313145,-17.879923,15.999590,-0.973858,0.136212,-0.175254,-0.048298
-16.649775,-3.412442,103.534218,1.000000,0.000000,0.000000,0.000000,-19.988035,-18.953251,15.904720,-0.974502,0.145970,-0.162718,-0.050603
-15.404825,-4.196096,104.498703,1.000000,0.000000,0.000000,0.000000,-18.773252,-19.828316,15.824877,-0.974659,0.155530,-0.151821,-0.052916
-14.004219,-4.813428,104.176643,1.000000,0.000000,0.000000,0.000000,-17.501875,-20.662741,15.745817,-0.974565,0.165192,-0.141179,-0.054795
-12.642675,-5.511363,105.055984,1.000000,0.000000,0.000000,0.000000,-15.988125,-21.540201,15.702960,-0.974317,0.176305,-0.128226,-0.056403
-11.275731,-6.007755,105.561722,1.000000,0.000000,0.000000,0.000000,-14.605735,-22.250397,15.713182,-0.973986,0.185734,-0.116439,-0.057416
-9.750555,-6.403051,105.486443,1.000000,0.000000,0.000000,0.000000,-13.162994,-22.892075,15.742815,-0.973741,0.193334,-0.105242,-0.058090
-8.159504,-6.910775,106.488350,1.000000,0.000000,0.000000,0.000000,-11.491404,-23.540092,15.797545,-0.973658,0.199476,-0.093712,-0.058452
-6.671654,-7.213348,106.494202,1.000000,0.000000,0.000000,0.000000,-9.991343,-24.021587,15.883866,-0.973607,0.204055,-0.083865,-0.058454
-5.026382,-7.581834,107.730392,1.000000,0.000000,0.000000,0.000000,-8.455149,-24.413738,15.998997,-0.973494,0.208747,-0.072948,-0.058425
-3.508816,-7.697641,108.090744,1.000000,0.000000,0.000000,0.000000,-6.896021,-24.714895,16.145075,-0.973316,0.213455,-0.060913,-0.058159
-1.859590,-7.617398,107.539742,1.000000,0.000000,0.000000,0.000000,-5.155406,-24.920107,16.359356,-0.973238,0.217609,-0.047056,-0.056925
-0.178529,-7.595927,108.190613,1.000000,0.000000,0.000000,0.000000,-3.603782,-25.025469,16.583704,-0.973581,0.218771,-0.035768,-0.054772
